guid,title,pubDate,description,link,media
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-21-march-2022-check-astrological-prediction-for-capricorn-aquarius-pisces-leo-and-other-signs/articleshow/90317274.cms',"b'Horoscope Today, 21 March 2022: Check astrological prediction for Capricorn, Aquarius, Pisces, Leo and other signs'","b'Mon, 21 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90317274.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-21-march-2022-check-astrological-prediction-for-capricorn-aquarius-pisces-leo-and-other-signs/articleshow/90317274.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-21-march-2022-check-astrological-prediction-for-capricorn-aquarius-pisces-leo-and-other-signs/articleshow/90317274.cms',"b'Horoscope Today, 21 March 2022: Check astrological prediction for Capricorn, Aquarius, Pisces, Leo and other signs'","b'Mon, 21 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90317274.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-21-march-2022-check-astrological-prediction-for-capricorn-aquarius-pisces-leo-and-other-signs/articleshow/90317274.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-21-march-2022-check-astrological-prediction-for-capricorn-aquarius-pisces-leo-and-other-signs/articleshow/90317274.cms',"b'Horoscope Today, 21 March 2022: Check astrological prediction for Capricorn, Aquarius, Pisces, Leo and other signs'","b'Mon, 21 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90317274.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-21-march-2022-check-astrological-prediction-for-capricorn-aquarius-pisces-leo-and-other-signs/articleshow/90317274.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-21-march-2022-check-astrological-prediction-for-capricorn-aquarius-pisces-leo-and-other-signs/articleshow/90317274.cms',"b'Horoscope Today, 21 March 2022: Check astrological prediction for Capricorn, Aquarius, Pisces, Leo and other signs'","b'Mon, 21 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90317274.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-21-march-2022-check-astrological-prediction-for-capricorn-aquarius-pisces-leo-and-other-signs/articleshow/90317274.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-21-march-2022-check-astrological-prediction-for-capricorn-aquarius-pisces-leo-and-other-signs/articleshow/90317274.cms',"b'Horoscope Today, 21 March 2022: Check astrological prediction for Capricorn, Aquarius, Pisces, Leo and other signs'","b'Mon, 21 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90317274.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-21-march-2022-check-astrological-prediction-for-capricorn-aquarius-pisces-leo-and-other-signs/articleshow/90317274.cms',
b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-compatibility-with-aries/articleshow/90337307.cms',b'Pisces compatibility with Aries',"b'Sun, 20 Mar 2022 18:26:41 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90337307.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-compatibility-with-aries/articleshow/90337307.cms',
b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-compatibility-with-aries/articleshow/90337307.cms',b'Pisces compatibility with Aries',"b'Sun, 20 Mar 2022 18:26:41 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90337307.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-compatibility-with-aries/articleshow/90337307.cms',
b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-compatibility-with-aries/articleshow/90337307.cms',b'Pisces compatibility with Aries',"b'Sun, 20 Mar 2022 18:26:41 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90337307.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-compatibility-with-aries/articleshow/90337307.cms',
b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-compatibility-with-aries/articleshow/90337307.cms',b'Pisces compatibility with Aries',"b'Sun, 20 Mar 2022 18:26:41 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90337307.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-compatibility-with-aries/articleshow/90337307.cms',
b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-compatibility-with-aries/articleshow/90337307.cms',b'Pisces compatibility with Aries',"b'Sun, 20 Mar 2022 18:26:41 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90337307.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-compatibility-with-aries/articleshow/90337307.cms',
